P,C,G,t (s),EJT,% C,S
20,10,50,42.658077,32325.95818,0.546596988,0.457439678
20,10,50,45.2423358,32396.54742,0.691159425,0.710205383
20,10,50,44.9386301,32499.22937,0.901445762,1.212186067
20,10,50,45.35541797,32059.05713,0,0
20,10,50,48.46007228,32511.72634,0.927038792,1.234536078
20,10,50,48.34021616,32118.26753,0.121259273,0.021148308
20,10,50,50.66439557,32202.36825,0.293492386,0.121015847
20,10,50,49.20938349,32372.70669,0.642335069,0.588165174
20,10,50,42.34613347,32356.84024,0.609841552,0.571514354
20,10,50,42.55372834,32142.8985,0.171701985,0.045194108
20,10,50,43.68038392,32334.44075,0.563968781,0.481245746
20,10,50,42.60456419,32389.57908,0.676888695,0.701950452
20,10,50,42.19340873,32520.49906,0.945004777,1.374819557
20,10,50,41.93268466,32239.81605,0.370183182,0.211620158
20,10,50,44.35533786,32248.88444,0.388754698,0.226922916
20,10,50,46.43624878,32399.87405,0.697972167,0.714903865
20,10,50,47.39483285,32358.23971,0.612707573,0.545306908
20,10,50,50.17208457,32226.98014,0.343896037,0.166964165
20,10,50,50.09153485,32422.24789,0.743792414,0.781666175
20,10,50,55.25121999,32239.77513,0.370099383,0.184274731
20,20,50,60.48090553,32481.94511,0.866048659,0.964440511
20,20,50,60.40261889,32520.60131,0.945214175,1.149562445
20,20,50,62.41545272,32522.72724,0.949567963,1.141316367
20,20,50,62.47763753,32516.63518,0.937091786,1.110969055
20,20,50,61.89291358,32488.35641,0.879178613,0.98250273
20,20,50,63.59282255,32519.37655,0.942705944,1.114418827
20,20,50,63.29109097,32421.20651,0.741659721,0.691413883
20,20,50,69.05634594,32500.37691,0.903795852,0.982966893
20,20,50,64.93315744,32424.61807,0.748646395,0.695536964
20,20,50,62.68099165,32522.77566,0.949667115,1.139134145
20,20,50,67.82610011,32439.37433,0.778866306,0.7365927
20,20,50,67.04962897,32361.20151,0.618773171,0.467589511
20,20,50,69.07703447,32538.76401,0.982410269,1.161231865
20,20,50,68.98069906,32373.76185,0.644495964,0.500122747
20,20,50,66.31448722,32472.60457,0.846919795,0.880806193
20,20,50,65.91962361,32502.75379,0.908663555,1.016948266
20,20,50,70.45724583,32436.57443,0.773132276,0.712106217
20,20,50,68.80941749,32477.4193,0.856780084,0.884941953
20,20,50,65.95421743,32445.05996,0.790510137,0.769473381
20,20,50,65.98819017,32469.38138,0.840318913,0.869270953
20,30,50,81.95959687,32512.24285,0.928096575,0.951451013
20,30,50,81.49520302,32409.90173,0.718508233,0.571870211
20,30,50,85.62454033,32517.00639,0.937851999,0.950538016
20,30,50,89.88208461,32532.03398,0.968627598,0.9896397
20,30,50,82.97328591,32462.36351,0.825946743,0.748919165
20,30,50,85.68494105,32473.69384,0.84915056,0.778963573
20,30,50,90.43726134,32472.29827,0.846292514,0.753125405
20,30,50,91.07318091,32434.78384,0.769465261,0.620415704
20,30,50,86.70211911,32536.11155,0.976978207,1.025073241
20,30,50,83.09332633,32376.4746,0.650051521,0.463566972
20,30,50,91.59291434,32472.01426,0.845710885,0.747330835
20,30,50,85.28728604,32474.21243,0.8502126,0.782731706
20,30,50,87.09358358,32409.32425,0.71732559,0.551365475
20,30,50,83.52343059,32460.29378,0.821708066,0.738806892
20,30,50,94.46079302,32438.1595,0.776378412,0.620184786
20,30,50,96.99733329,32515.54678,0.934862809,0.887392734
20,30,50,101.7265942,32441.20084,0.782606889,0.607253575
20,30,50,97.84950709,32420.36856,0.739943653,0.553500449
20,30,50,93.97117519,32464.44514,0.830209786,0.711014353
20,30,50,95.15587187,32485.23765,0.87279158,0.780914164
20,40,50,100.3368237,32540.96064,0.986908836,0.97235287
20,40,50,99.73296189,32515.07676,0.933900243,0.873336513
